rsi_min,rsi_max,entry_cutoff,risk_reward_ratio,volume_multiplier,trades,wins,losses,target_exits,stop_loss_exits,day_end_exits,win_rate,net_pnl,return_percent,profit_factor,max_drawdown,max_drawdown_percent,average_net_pnl,ending_capital
52,68,12:00,1.5,1.0,12,4,8,0,1,11,33.33,-1239.15,-1.2392,0.3513,1600.83,1.6008,-103.26,98760.85
52,68,12:00,1.5,1.1,11,4,7,0,1,10,36.36,-1039.56,-1.0396,0.3923,1401.24,1.4012,-94.51,98960.44
52,68,12:00,1.5,1.2,8,2,6,0,1,7,25.0,-1352.97,-1.353,0.1501,1505.82,1.5058,-169.12,98647.03
52,68,12:00,2.0,1.0,12,4,8,0,1,11,33.33,-1239.15,-1.2392,0.3513,1600.83,1.6008,-103.26,98760.85
52,68,12:00,2.0,1.1,11,4,7,0,1,10,36.36,-1039.56,-1.0396,0.3923,1401.24,1.4012,-94.51,98960.44
52,68,12:00,2.0,1.2,8,2,6,0,1,7,25.0,-1352.97,-1.353,0.1501,1505.82,1.5058,-169.12,98647.03
52,68,12:00,2.5,1.0,12,4,8,0,1,11,33.33,-1239.15,-1.2392,0.3513,1600.83,1.6008,-103.26,98760.85
52,68,12:00,2.5,1.1,11,4,7,0,1,10,36.36,-1039.56,-1.0396,0.3923,1401.24,1.4012,-94.51,98960.44
52,68,12:00,2.5,1.2,8,2,6,0,1,7,25.0,-1352.97,-1.353,0.1501,1505.82,1.5058,-169.12,98647.03
52,68,13:00,1.5,1.0,17,5,12,0,2,15,29.41,-2117.6,-2.1176,0.3208,2677.83,2.6778,-124.56,97882.4
52,68,13:00,1.5,1.1,17,5,12,0,2,15,29.41,-2138.12,-2.1381,0.3187,2698.35,2.6983,-125.77,97861.88
52,68,13:00,1.5,1.2,17,5,12,0,2,15,29.41,-2159.16,-2.1592,0.3135,2716.98,2.717,-127.01,97840.84
52,68,13:00,2.0,1.0,17,5,12,0,2,15,29.41,-2117.6,-2.1176,0.3208,2677.83,2.6778,-124.56,97882.4
52,68,13:00,2.0,1.1,17,5,12,0,2,15,29.41,-2138.12,-2.1381,0.3187,2698.35,2.6983,-125.77,97861.88
52,68,13:00,2.0,1.2,17,5,12,0,2,15,29.41,-2159.16,-2.1592,0.3135,2716.98,2.717,-127.01,97840.84
52,68,13:00,2.5,1.0,17,5,12,0,2,15,29.41,-2117.6,-2.1176,0.3208,2677.83,2.6778,-124.56,97882.4
52,68,13:00,2.5,1.1,17,5,12,0,2,15,29.41,-2138.12,-2.1381,0.3187,2698.35,2.6983,-125.77,97861.88
52,68,13:00,2.5,1.2,17,5,12,0,2,15,29.41,-2159.16,-2.1592,0.3135,2716.98,2.717,-127.01,97840.84
52,68,15:00,1.5,1.0,28,11,17,0,2,26,39.29,-1670.27,-1.6703,0.5588,3066.78,3.0668,-59.65,98329.73
52,68,15:00,1.5,1.1,28,11,17,0,2,26,39.29,-1745.0,-1.745,0.5455,3097.74,3.0977,-62.32,98255.0
52,68,15:00,1.5,1.2,27,11,16,0,2,25,40.74,-1481.44,-1.4814,0.5749,2754.38,2.7544,-54.87,98518.56
52,68,15:00,2.0,1.0,28,11,17,0,2,26,39.29,-1670.27,-1.6703,0.5588,3066.78,3.0668,-59.65,98329.73
52,68,15:00,2.0,1.1,28,11,17,0,2,26,39.29,-1745.0,-1.745,0.5455,3097.74,3.0977,-62.32,98255.0
52,68,15:00,2.0,1.2,27,11,16,0,2,25,40.74,-1481.44,-1.4814,0.5749,2754.38,2.7544,-54.87,98518.56
52,68,15:00,2.5,1.0,28,11,17,0,2,26,39.29,-1670.27,-1.6703,0.5588,3066.78,3.0668,-59.65,98329.73
52,68,15:00,2.5,1.1,28,11,17,0,2,26,39.29,-1745.0,-1.745,0.5455,3097.74,3.0977,-62.32,98255.0
52,68,15:00,2.5,1.2,27,11,16,0,2,25,40.74,-1481.44,-1.4814,0.5749,2754.38,2.7544,-54.87,98518.56
52,70,11:00,1.5,1.0,3,1,2,0,1,2,33.33,-602.57,-0.6026,0.1249,688.61,0.6886,-200.86,99397.43
52,70,11:00,1.5,1.1,3,1,2,0,1,2,33.33,-602.57,-0.6026,0.1249,688.61,0.6886,-200.86,99397.43
