lookback_period,minimum_rsi,minimum_volume_ratio,stop_atr_multiplier,target_atr_multiplier,symbols_tested,profitable_symbols,losing_symbols,breakeven_symbols,profitable_symbol_percent,total_trades,combined_win_rate,combined_net_pnl,average_pnl_per_symbol,portfolio_profit_factor,eligible_for_ranking
10,60.0,1.0,1.0,2.5,10,0,10,0,0.0,528,22.53630681818182,-18327.06,-1832.7060000000001,0.0,True
12,55.0,1.0,1.2,2.5,10,0,10,0,0.0,511,23.092133072407048,-18330.64,-1833.0639999999999,0.0,True
10,60.0,1.0,1.2,2.5,10,0,10,0,0.0,528,23.673333333333332,-18500.95,-1850.095,0.0,True
12,50.0,1.0,1.0,2.5,10,0,10,0,0.0,513,21.441832358674464,-18646.45,-1864.645,0.0,True
8,60.0,1.0,1.0,2.5,10,0,10,0,0.0,563,24.156181172291298,-18702.14,-1870.214,0.0,True
12,55.0,1.0,1.0,2.5,10,0,10,0,0.0,511,21.13407045009785,-18834.23,-1883.423,0.0,True
8,60.0,1.0,1.2,3.0,10,0,10,0,0.0,563,22.2039431616341,-18869.79,-1886.979,0.0,True
8,60.0,1.0,1.2,2.0,10,0,10,0,0.0,563,28.59641207815275,-18965.909999999996,-1896.5909999999997,0.0,True
10,60.0,1.0,1.0,3.0,10,0,10,0,0.0,528,19.12850378787879,-19055.460000000003,-1905.5460000000003,0.0,True
10,60.0,1.0,1.0,2.0,10,0,10,0,0.0,528,24.99969696969697,-19104.430000000004,-1910.4430000000004,0.0,True
8,60.0,1.0,1.2,2.5,10,0,10,0,0.0,563,24.510426287744224,-19190.63,-1919.063,0.0,True
8,60.0,1.0,1.0,3.0,10,0,10,0,0.0,563,20.781296625222023,-19225.679999999997,-1922.5679999999998,0.0,True
12,50.0,1.0,1.0,2.0,10,0,10,0,0.0,513,23.587972709551654,-19333.870000000003,-1933.3870000000002,0.0,True
12,50.0,1.0,1.0,3.0,10,0,10,0,0.0,513,18.32389863547758,-19407.54,-1940.7540000000001,0.0,True
12,55.0,1.0,1.0,3.0,10,0,10,0,0.0,511,18.00363992172211,-19499.989999999998,-1949.9989999999998,0.0,True
12,55.0,1.0,1.0,2.0,10,0,10,0,0.0,511,23.287749510763213,-19546.32,-1954.632,0.0,True
10,50.0,1.0,1.2,3.0,10,0,10,0,0.0,564,21.277677304964538,-19636.67,-1963.667,0.0,True
10,50.0,1.0,1.0,2.5,10,0,10,0,0.0,564,22.34030141843972,-19777.07,-1977.7069999999999,0.0,True
10,55.0,1.0,1.2,3.0,10,0,10,0,0.0,562,20.819483985765125,-19861.8,-1986.1799999999998,0.0,True
